condition,age,memory,subj
ctrl,22.92676249,0.425,1
ctrl,23.1321013,0.5,2
ctrl,23.05270363,0.439851485,3
ctrl,15.07734428,0.362362637,4
ctrl,23.41409993,0.176238739,5
ctrl,18.22861054,0.294859813,6
ctrl,16.78302533,0.242934783,7
ctrl,13.83983573,0.033050847,8
ctrl,20.78850103,0.203361345,9
ctrl,22.37919233,0.3275,10
ctrl,10.77891855,0.129977876,11
ctrl,22.32169747,0.417542017,12
ctrl,19.81930185,0.605882353,13
ctrl,23.77823409,0.487288136,14
ctrl,22.02053388,0.4375,15
ctrl,20.53935661,0.300735294,16
ctrl,12.28747433,-0.006521739,17
ctrl,22.02600958,0.2625,18
ctrl,25.04859685,0.743965517,19
ctrl,15.72073922,0.642241379,20
ctrl,17.98767967,0.270588235,21
ctrl,21.06228611,0.349137931,22
ctrl,8.136892539,0.095652174,23
ctrl,25.09514031,0.475,24
ctrl,9.67008898,0.210344828,25
ctrl,10.82272416,0.305420354,26
ctrl,20.50376454,0.156465517,27
ctrl,10.61190965,0.160714286,28
ctrl,12.37782341,0.244642857,29
ctrl,19.37577002,0.283898305,30
ctrl,25.32238193,0.486403509,31
ctrl,20.93634497,0.34279661,32
ctrl,16.79123888,0.260189076,33
ctrl,13.38809035,0.255462185,34
ctrl,22.43942505,0.718802521,35
ctrl,16.93360712,0.123305085,36
ctrl,10.86926762,0.209322034,37
ctrl,23.56468172,0.597689076,38
ctrl,10.56536619,0.363668224,39
ctrl,8.65982204,0.220132743,40
ctrl,11.55099247,0.254310345,41
ctrl,9.311430527,0.354906542,42
ctrl,23.26625599,0.68644958,43
ctrl,9.232032854,0.064130435,44
ctrl,8.673511294,0.211725664,45
ctrl,21.47296372,0.071638655,46
ctrl,11.75085558,0.125,47
ctrl,11.8220397,0.282675439,48
ctrl,8.859685147,0.341981132,49
ctrl,18.45311431,0.491025641,50
ctrl,20.01916496,0.190376106,51
ctrl,22.00136893,0.308333333,52
ctrl,14.26146475,0.480252101,53
ctrl,17.93292266,0.014423077,54
ctrl,14.92676249,0.296428571,55
ctrl,11.8220397,0.300462963,56
ctrl,18.99520876,0.283928571,57
ctrl,9.94934976,0.160864486,58
ctrl,17.72210815,0.287076271,59
ctrl,11.60574949,0.252323009,60
ctrl,23.05544148,0.444871795,61
ctrl,19.21149897,0.179166667,62
ctrl,15.44421629,0.248913043,63
ctrl,19.22518823,0.221444954,64
ctrl,15.67967146,0.377542373,65
ctrl,17.29774127,0.520833333,66
ctrl,8.845995893,0.040561224,67
ctrl,8.13963039,0.266509434,68
ctrl,15.17864476,0.441666667,69
ctrl,17.88364134,0.55157563,70
ctrl,15.24161533,0.257142857,71
ctrl,12.61327858,0.488461538,72
ctrl,9.560574949,0.310630841,73
ctrl,11.46885695,0.148275862,74
ctrl,16.08213552,0.268473451,75
ctrl,10.85284052,0.137278761,76
ctrl,13.36071184,0.376365546,77
ctrl,14.72142368,0.697457627,78
